tic,indicator,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ABIO,P/FCF,,29.85,157.76,,,,,,,,,,
ABRD,P/FCF,,,40.27,,18.42,,,,,,,,
AFKS,P/FCF,4.71,4.75,1.0,10.1,,,,,,,,,
AFLT,P/E,,,,,,,,10.83,-1.48,-4.22,-1.94,-15.73,
AFLT,P/B,,,,,,,,-68.19,-1.62,-1.04,-1.07,-1.63,
AFLT,P/S,,,,,,,,0.17,0.58,0.29,0.24,0.23,
AFLT,P/CF,,,,,,,,0.76,7.59,1.52,1.23,0.79,
AFLT,P/FCF,,,,,,,,1.09,22.76,1.86,1.36,1.79,
AFLT,EV/S,,,,,,,,0.17,0.58,0.41,1.45,1.26,
AFLT,EV/EBITDA,,,,,,,,0.7,6.46,1.73,5.33,2.42,
AFLT,EV/EBIT,,,,,,,,1.9593,-1.5676,-15.0633,-4.387,4.214,
AFLT,Коэффициент долга,,,,,,,,1.0,1.11,1.13,1.1,1.09,
AFLT,D/E,,,,,,,,477.625,-9.81,-8.5762,-10.6349,-12.2807,
AFLT,CAPEX/Выручка,,,,,,,,8.1685,5.0777,3.522,1.817,16.2468,
AFLT,NetDebt/EBITDA,,,,,,,,0.0172,-0.0114,0.4985,4.4603,1.9811,
AFLT,Долг/EBITDA,,,,,,,,0.09,3.28,1.14,1.01,0.33,
AFLT,ROE,,,,,,,,692.92,106.82,23.53,50.71,14.2,
AFLT,ROA,,,,,,,,1.45,-12.12,-3.11,-5.26,-1.26,
AFLT,Return on Sales,,,,,,,,8.91,-36.79,-2.73,-33.16,29.85,
AFLT,ROIC,,,,,,,,8.53,-10.07,-0.49,-1.67,23.98,
AFLT,ROCE,,,,,,,,8.6747,-15.1272,-1.6034,-20.37,24.0447,
AFLT,Net Margin,,,,,,,,1.9933,-40.7728,-7.0079,-12.187,-2.2903,
AFLT,Операционная маржа,,,,,,,,8.9489,-30.4959,-1.0199,-3.2341,29.7705,
AFLT,EBITDA рентабельность,,,,,,,,24.9194,8.9314,23.699,27.3174,52.001,
AFLT,Тек. ливкидность,,,,,,,,0.6185,0.658,0.6983,0.815,0.7085,
AGRO,P/E,,,,,,,,8.98,,,,,
AGRO,P/B,,,,,,,,0.83,,,,,
AGRO,P/S,,,,,,,,0.64,,,,,
AGRO,P/CF,,,,,,,,4.16,,,,,
AGRO,P/FCF,,,,28.15,,163.88,,15.07,,,,,
AGRO,EV/S,,,,,,,,1.08,,,,,
AGRO,EV/EBITDA,,,,,,,,7.48,,,,,
AGRO,EV/EBIT,,,,,,,,17.3842,,,,,
AGRO,Коэффициент долга,,,,,,,,0.55,,,,,
AGRO,D/E,,,,,,,,1.2419,,,,,
AGRO,CAPEX/Выручка,,,,,,,,11.086,,,,,
AGRO,NetDebt/EBITDA,,,,,,,,3.0801,,,,,
AGRO,Долг/EBITDA,,,,,,,,4.88,,,,,
AGRO,ROE,,,,,,,,9.09,,,,,
AGRO,ROA,,,,,,,,4.05,,,,,
AGRO,Return on Sales,,,,,,,,6.24,,,,,
AGRO,ROIC,,,,,,,,4.5,,,,,
AGRO,ROCE,,,,,,,,4.6433,,,,,
AGRO,Net Margin,,,,,,,,7.0264,,,,,
AGRO,Операционная маржа,,,,,,,,6.4985,,,,,
AGRO,EBITDA рентабельность,,,,,,,,14.5072,,,,,
AGRO,Тек. ливкидность,,,,,,,,1.6843,,,,,
AKRN,P/E,,,,,,,14.82,8.05,73.03,,7.37,,
AKRN,P/B,,,,,,,3.29,3.2,5.66,,3.96,,
AKRN,P/S,,,,,,,1.75,1.7,2.02,,2.59,,
AKRN,P/CF,,,,,,,6.66,6.9,9.23,,10.18,,
AKRN,P/FCF,,,,,,,13.65,21.09,29.32,,18.51,,
AKRN,EV/S,,,,,,,2.44,2.38,2.87,,2.74,,
AKRN,EV/EBITDA,,,,,,,7.1,7.78,9.74,,5.18,,
AKRN,EV/EBIT,,,,,,,9.8488,11.4967,18.7522,,6.3731,,
AKRN,Коэффициент долга,,,,,,,0.58,0.59,0.69,,0.39,,
AKRN,D/E,,,,,,,1.3896,1.4444,2.1988,,0.6452,,
AKRN,CAPEX/Выручка,,,,,,,13.4571,16.5716,14.972,,11.4543,,
AKRN,NetDebt/EBITDA,,,,,,,1.9978,2.2175,2.8967,,0.2892,,
AKRN,Долг/EBITDA,,,,,,,2.28,2.47,3.26,,0.57,,
AKRN,ROE,,,,,,,17.04,30.24,5.58,,46.68,,
AKRN,ROA,,,,,,,7.13,12.37,1.74,,28.37,,
AKRN,Return on Sales,,,,,,,24.73,20.67,15.31,,43.04,,
AKRN,ROIC,,,,,,,12.91,11.24,11.49,,34.1,,
AKRN,ROCE,,,,,,,17.2909,14.2387,11.4173,,39.465,,
AKRN,Net Margin,,,,,,,12.3244,21.584,3.2003,,35.3949,,
AKRN,Операционная маржа,,,,,,,25.3919,20.3779,21.7154,,46.7591,,
AKRN,EBITDA рентабельность,,,,,,,34.2886,30.5438,29.4592,,53.0034,,
AKRN,Тек. ливкидность,,,,,,,1.2086,1.2704,0.8006,,2.9714,,
ALRS,P/E,,,,,,,,10.07,22.91,9.84,4.31,6.03,
ALRS,P/B,,,,,,,,2.46,2.76,4.0,1.34,1.34,
ALRS,P/S,,,,,,,,2.68,3.35,2.74,1.44,1.57,
ALRS,P/CF,,,,,,,,9.24,7.55,7.17,4.9,7.79,
ALRS,P/FCF,,,,,,,,13.12,9.16,8.45,9.11,234.52,
ALRS,EV/S,,,,,,,,3.02,3.5,2.92,1.7,1.87,
ALRS,EV/EBITDA,,,,,,,,6.57,8.67,6.85,3.47,4.46,
ALRS,EV/EBIT,,,,,,,,8.9545,10.3737,7.7622,4.0937,5.6213,
ALRS,Коэффициент долга,,,,,,,,0.41,0.49,0.47,0.38,0.36,
ALRS,D/E,,,,,,,,0.6935,0.9575,0.8959,0.6154,0.5624,
ALRS,CAPEX/Выручка,,,,,,,,8.5778,7.8322,5.7959,13.6157,19.4974,
ALRS,NetDebt/EBITDA,,,,,,,,0.7432,0.3562,0.4387,0.5336,0.7211,
ALRS,Долг/EBITDA,,,,,,,,1.04,1.86,0.84,0.71,0.99,
ALRS,ROE,,,,,,,,24.7,12.16,40.86,31.18,22.31,
ALRS,ROA,,,,,,,,14.59,6.21,21.55,19.3,14.28,
ALRS,Return on Sales,,,,,,,,33.77,33.71,37.66,41.63,33.34,
ALRS,ROIC,,,,,,,,15.81,12.03,24.26,20.54,17.0,
ALRS,ROCE,,,,,,,,21.4883,17.3343,33.2469,27.2559,22.1124,
ALRS,Net Margin,,,,,,,,26.9394,14.8507,27.9286,33.4766,26.0878,
ALRS,Операционная маржа,,,,,,,,32.2702,31.9917,35.1032,39.295,32.5608,
ALRS,EBITDA рентабельность,,,,,,,,45.9941,40.3449,42.6641,49.1581,42.035,
ALRS,Тек. ливкидность,,,,,,,,2.7846,2.8061,3.1365,4.0645,2.8493,
AMEZ,P/E,,,,,,,,1.61,6.71,0.77,1.59,3.4,
AMEZ,P/B,,,,,,,,0.3,0.41,0.44,0.48,0.86,
AMEZ,P/S,,,,,,,,0.09,0.15,0.22,0.32,0.71,
AMEZ,P/CF,,,,,,,,0.8,1.12,1.22,1.37,4.3,
AMEZ,P/FCF,,,,,,,,0.96,1.28,1.3,1.45,4.8,
AMEZ,EV/S,,,,,,,,0.21,0.21,0.22,0.11,0.61,
AMEZ,EV/EBITDA,,,,,,,,2.47,2.06,0.58,0.43,2.43,
AMEZ,EV/EBIT,,,,,,,,3.8484,2.9513,0.6034,0.471,2.6319,
AMEZ,Коэффициент долга,,,,,,,,0.52,0.51,0.35,0.26,0.24,
AMEZ,D/E,,,,,,,,1.0701,1.0337,0.5294,0.3471,0.3179,
AMEZ,CAPEX/Выручка,,,,,,,,1.9063,1.6249,1.207,1.3712,1.7162,
AMEZ,NetDebt/EBITDA,,,,,,,,1.4168,0.6432,-0.0055,-0.8318,-0.4017,
AMEZ,Долг/EBITDA,,,,,,,,2.28,2.14,0.28,0.13,0.12,
AMEZ,ROE,,,,,,,,18.64,6.16,57.23,30.07,25.23,
AMEZ,ROA,,,,,,,,9.0,3.03,37.42,22.32,19.14,
AMEZ,Return on Sales,,,,,,,,5.54,7.23,36.59,23.22,23.17,
AMEZ,ROIC,,,,,,,,9.54,11.08,46.64,25.41,20.29,
AMEZ,ROCE,,,,,,,,11.8327,13.5919,59.5774,31.9615,26.7093,
AMEZ,Net Margin,,,,,,,,5.6531,2.1904,29.1322,20.2089,20.9031,
AMEZ,Операционная маржа,,,,,,,,5.5434,7.2335,36.5906,23.2197,23.1724,
AMEZ,EBITDA рентабельность,,,,,,,,8.6518,10.3564,38.0722,25.4172,25.1494,
AMEZ,Тек. ливкидность,,,,,,,,1.9505,2.0071,2.7477,3.3785,3.6255,
APTK,P/E,,,,,,,,-9.64,,,,,
APTK,P/B,,,,,,,,-3.46,,,,,
APTK,P/S,,,,,,,,2.23,,,,,
APTK,P/CF,,,,,,,,-45.72,,,,,
APTK,EV/S,,,,,,,,3.12,,,,,
APTK,EV/EBITDA,,,,,,,,122.36,,,,,
APTK,EV/EBIT,,,,,,,,-26.9947,,,,,
APTK,Коэффициент долга,,,,,,,,1.72,,,,,
APTK,D/E,,,,,,,,-2.3848,,,,,
